,index,City,Location,Job,Company,Summary,Salary,Salary_Class
278,6493,Austin,"Austin, TX",Program Specialist VII,Health & Human Services Comm,"Ability to interpret complex and detailed data. To evaluate fiscal data for reasonableness, necessity, and conformity with contract requirements;...",73200.0,1
279,6495,Austin,"Austin, TX",Rehab Therapy Tech IV,Dept of Aging & Disability Svc,"Experience keeping production data in a vocational environment. Some college course work in behavioral sciences, education, or related areas is preferred....",35286.0,0
280,6512,Austin,"Austin, TX 78701 (Downtown area)",Permitting Specialist,JE Compliance,"Prior work experience in field of Environmental Science, business administration or project management. This position is responsible for the preparation of...",43500.0,0
281,6550,Austin,"Austin, TX",Software Developer/Analyst,University of Texas at Austin,"Bachelor's degree in computer science, management information systems or related field. Demonstrated knowledge of design, development and testing of data entry...",56838.0,0
282,6571,Austin,"Austin, TX",Inspector VII,Dept of State Health Services,"Performs data entry and inquiries for information in the Federal data bases. Bachelor’s degree in, Chemistry, Biology, Physical Science or Medical Technology...",56550.0,0
283,6591,Austin,"Austin, TX","Engineer, Software",Austin Community College,Experience with data transformation and data integration. Bachelor's degree in computer science or related field....,62095.0,0
284,6610,Austin,"Austin, TX",Recreation Coordinator,Dept of Aging & Disability Svc,"Some college course work in behavioral sciences, education, or related areas is preferred. Ensures the collection of data related to treatment plans in order to...",27564.0,0
285,6649,Austin,"Austin, TX",UT University Charter School Teacher - HS Math-Science 7-12 Teacher Cedar Crest,University of Texas at Austin,Utilize data effectively to inform instruction. Valid Texas teaching certificate for 7-12 Math and Science....,64146.0,0
286,6651,Austin,"Austin, TX",Senior Administrative Program Coordinator - GIS and Geospatial Data Coordinator,University of Texas at Austin,"Bachelor's degree in GIS, computer science, geography, geology, social sciences or related field; Support faculty, students, and researchers with the discovery,...",65004.0,0
287,6657,Austin,"Austin, TX",Engineering Scientist Associate - Information Systems Engineering Associate,University of Texas at Austin,"Bachelor's degree in engineering, computer and information science or other applied sciences. Develop and manage automated scripts for remote sensor system...",71400.0,0
288,6670,Austin,"Austin, TX",IRM Netwrk Secur SS Spec III,Health & Human Services Comm,"Graduation from a standard senior high school or equivalent, supplemented by courses in computer science, is generally preferred....",47688.0,0
289,6686,Austin,"Austin, TX",Research Engineering/ Scientist Associate III (Exempt) - Full Stack Research Developer,University of Texas at Austin,"Degree in computer science, information science, mathematics, or a computational science or engineering discipline....",64992.0,0
290,6692,Austin,"Austin, TX",Outreach Program Coordinator (Non-Exempt Pending) - CNS Admissions Coordinator,University of Texas at Austin,Data analysis proficiency. Develop strategic recruitment goals and plans for increasing diversity in the College of Natural Sciences....,45000.0,0
291,6712,Austin,"Austin, TX 78758 (North Austin area)",AWS/Cloud Infrastructure Specialist,Lexbe,">Able to work comfortably with quantitative data analysis; From a four-year university in Information Technology, Computer Science, IT Administration or a...",47500.0,0
292,6716,Austin,"Austin, TX",Research Scientist,Senseye,"Familiarity with image/video processing (i.e., algorithms from computer vision) to help improve data acquisition techniques, data quality, and quality control....",82500.0,1
293,6724,Austin,"Austin, TX 78746",Senior Research Scientist (Principal Investigator level),Gibson - An Education Consulting & Research Group,"In a social science field, such as political science, economics, psychology, educational psychology, sociology, human development, etc....",130000.0,1
294,6738,Austin,"Austin, TX","data engineer (kafka, python or scala)",recruitAbility,"Bachelor’s degree in computer science. 4+ years’ experience building Big Data systems. Job – Senior Data Engineer (python, kafka, scala)*....",130000.0,1
295,6759,Austin,"Austin, TX 78711 (Downtown area)",Director of Library Development and Networking,Texas State Library & Archives Commission,"Ability to analyze data, formulate conclusions and write reports. Master's degree in Library or Information Science from an ALA-accredited program....",88254.0,1
296,6774,Atlanta,"Atlanta, GA",Supervisory Health Scientist,Centers for Disease Control and Prevention,Apply scientific principles& techniques to develop/enrich knowledge of a topic & advance science. Develop and implement recommendations that strengthen clinical...,143516.0,1
297,6790,Atlanta,"Atlanta, GA 30334 (Adair Park area)",Accountability Specialist,Georgia Department of Education,"Ensuring the accuracy of data calculations for CCRPI reports; Proficiency in SQL, R, SPSS, and/or other statistical or data management software....",52331.0,0
298,6835,Atlanta,"Atlanta, GA",Technical Architect,"The Talmadge Group, Inc.",Bachelor’ s degree in Engineering and/or Computer Science. To accomplish these objectives you will review the business requirements and design technical...,125000.0,1
299,6935,Atlanta,"Marietta, GA",Operations Analyst Manager,Synergy Hire LLC,"Lead generation and data services industry. Statistics, Mathematics, Economics, Computer Science, or STEM degree preferred, or relevant work experience in an...",100000.0,1
300,6936,Atlanta,"Atlanta, GA","Sponsor Funded Skilled Crafts, Laboratory Technician II",Georgia State University,"Analyzes scientific data. Operates computerized data collection systems. Bachelor's degree in Biology, Chemistry or other natural science area and one year of...",34234.5,0
301,6958,Atlanta,"Atlanta, GA",Senior Medical Examiner Investigator,"Fulton County, GA","Associate's degree in Biology, Forensic Science, Criminal Justice or related field; Requires the ability to evaluate, audit, deduce, and/or assess data using...",63673.5,0
302,6977,Atlanta,"Atlanta, GA",Sr. SAP MDM Data Architects (x2),Staffing Technologies,"Define data element requirements including history, timeliness and frequency of data. Design, develop, and test processes for loading initial data into a data...",140000.0,1
303,7089,Atlanta,"Atlanta, GA 30334 (Adair Park area)",Education Program Specialist,Georgia Department of Education,Considerable knowledge of and experience with Family and Consumer Science at the local k-12 school system or state level....,52331.0,0
304,7212,Baltimore,"Baltimore, MD",DATABASE SPECIALIST II (Data Analyst),State of Maryland,"Perform data integration, data profiling, and data cleansing through the use of third-party software tools....",64988.5,0
305,7213,Baltimore,"Baltimore, MD 21201 (Downtown area)",Research Analyst,University of Baltimore,The Research Analyst collects and analyzes data using advanced statistical techniques and independently interprets the data....,48550.0,0
306,7216,Baltimore,"Baltimore, MD",Data Visualization Specialist,Johns Hopkins University,"Fluent preparing data visualizations powered by Tableau. Bachelor’s degree in Computer Science, Information Systems, Business, Statistics, or related field...",49165.0,0
307,7217,Baltimore,"Baltimore, MD",Research Data Analyst,Johns Hopkins University,Literature search will involve data screening and data abstraction using Distiller SR and will require. Detail-oriented and proficient in extracting data from...,53358.5,0
308,7218,Baltimore,"Baltimore, MD",Data Informationist,Johns Hopkins University,"Degree in a related field, such as informatics, data science, health sciences, or statistics. A second advanced degree in a relevant discipline in informatics,...",65643.5,0
309,7234,Baltimore,"Baltimore, MD",Research Specialist II,Johns Hopkins University,"Bachelor’s degree in biological sciences or related field. Evaluation/interpretation of results, and organization of data....",43986.0,0
310,7238,Baltimore,"Baltimore, MD",Molecular Diagnostics Technologist,Johns Hopkins University,"Bachelor’s degree in Medical Technology or related science (Clinical Laboratory Science, Biology, Chemistry, etc)....",51114.0,0
311,7246,Baltimore,"Baltimore, MD",Data Architect,Johns Hopkins University,"This candidate must have some familiarity on data science , data mining and data analysis using R, Python or SAS....",66956.5,0
312,7252,Baltimore,"Baltimore, MD",Program Manager,Johns Hopkins University,Acts as a consultant on improvement science and data driven decision making. Strong data analytic skills required....,68904.0,0
313,7264,Baltimore,"Baltimore, MD",Immunogenetics Technologist Trainee,Johns Hopkins University,In biological science. Perform computer data entry. Medical Genetics Monday-Friday 8:30a.m.-5:00p.m....,32123.5,0
314,7277,Baltimore,"Baltimore, MD",Sr. Research Data Analyst,Johns Hopkins University,"For analyzing high-throughput genomics, epigenomics, and transcriptomics data. Master’s degree in Bioinformatics, Computer Science, Statistical Genetics or...",58175.5,0
315,7279,Baltimore,"Baltimore, MD",Laboratory Technician,Johns Hopkins University,Collects data as required by research protocol. This individual will provide routine clerical and limited technical support to the laboratory manager and staff....,27134.5,0
316,7290,Baltimore,"Baltimore, MD",Compensation Analyst,Johns Hopkins University,The JHU Health Sciences Human Resources function supports multiple JHU schools:. Conducts job analysis and recommends appropriate title and salary range based...,56625.5,0
317,7291,Baltimore,"Baltimore, MD",IT FUNCTIONAL ANALYST I,State of Maryland,"Experience responding to and resolving help desk calls from users of computers, or operating computer equipment for the purpose of data entry, word processing,...",53592.5,0
318,7324,Baltimore,"Baltimore, MD",Program Management Specialist,"University of Maryland, Baltimore","Its location in the Baltimore-Washington, D.C.-Annapolis triangle maximizes opportunities for collaboration with government agencies, health care institutions,...",46000.0,0
319,7350,Baltimore,"Baltimore, MD",Auditor III - Department of Audits,"City of Baltimore, MD","Computer science, information systems or data processing; An Auditor III assigns, reviews and approves the work of auditing and office support personnel or...",92250.0,1
320,7372,Baltimore,"Baltimore, MD 21201 (Downtown area)",Lead Media Specialist,University of Baltimore,B - ENTER DATA ON THE FOLLOWING PAGES:. Click “Save” to save the data you entered on that page. Above and below the required data for the four categories shown...,54225.0,0
321,7376,Baltimore,"Baltimore, MD",ERP Business Analyst,Johns Hopkins University,"An understanding of SAP Master Data required for functional processing, SAP Transaction Data. Module functionality, master data impacted, security, and...",78104.5,1
322,7388,Baltimore,"Baltimore, MD",Data Services Manager,Johns Hopkins University,"Master’s degree in Health Sciences, Science, Engineering or Library Science. Research Data Management. Demonstrated understanding of the research data lifecycle...",80723.5,1
323,7389,Baltimore,"Baltimore, MD 21201 (Downtown area)",BI Analyst / Data Scientist,WHO... a staffing company,DATA SCIENTIST/BUSINESS INTELLIGENCE ANALYST – BALTIMORE (NO H1B's)Data enthusiast?!! One of our most respected clients is looking to hire a Data Scientist...,115000.0,1
324,7434,Baltimore,"Edgewater, MD",Postdoctoral Opportunity in Stream Restoration,Smithsonian Environmental Research Center,"In environmental science or engineering, peer-reviewed publications, and professional presentations. Existing data extend before the restorations at two sites...",56000.0,0
325,7440,Baltimore,"Baltimore, MD 21201 (Downtown area)","Data Engineer (Cassandra, Spark, R, Python)",WHO... a staffing company,Create and manage data sourcesIntegrate with Diverse APIsContribute to the ongoing development of the data warehouse ecosystemWork closely with stakeholders on...,120000.0,1
326,7450,Baltimore,"Baltimore, MD",Sr. Financial Analyst,Johns Hopkins University,There are 37 Academic departments in the clinical area and basic sciences. Perform complex cost and financial analysis of data reported in the various...,66956.5,0
327,7475,Baltimore,"Baltimore, MD",Sr. Institutional Research Analyst,Johns Hopkins University,"And statistical methods (computer science or information science preferred, or social science,. Degree(s) in the social sciences, math, information systems or...",59339.0,0
328,7480,Baltimore,"Baltimore, MD",Auditor Supervisor - Department of Audits,"City of Baltimore, MD","Computer science, information systems or data processing; An Auditor Supervisor plans, coordinates and schedules the work of an auditing division....",100850.0,1
329,7511,Baltimore,"Fort Meade, MD",Database Administrator,"Advanced C4 Solutions, Inc. (AC4S)","Reviews business requests for data and data usage, researches data sources for new and better data feeds. Coordinates new data development ensuring consistency...",62346.0,0
